datetime,power_kW,pv_kW,autoconsommation_kW,injection_kW,soutirage_kW,soc,import_after_battery,export_after_battery
2023-02-09 04:00:00+00:00,93.97378684460858,0.0,0.0,0.0,93.97378684460858,0.0,93.97378684460858,0.0
2023-02-09 05:00:00+00:00,91.79584567744357,0.0,0.0,0.0,91.79584567744357,0.0,91.79584567744357,0.0
2023-02-09 06:00:00+00:00,239.5073298594171,0.0,0.0,0.0,239.5073298594171,0.0,239.5073298594171,0.0
2023-02-09 07:00:00+00:00,270.2175968006525,0.1375614897389483,0.1375614897389483,0.0,270.0800353109135,0.0,270.0800353109135,0.0
2023-02-09 08:00:00+00:00,477.2213007333594,37.364519076135394,37.364519076135394,0.0,439.856781657224,0.0,439.856781657224,0.0
2023-02-09 09:00:00+00:00,478.5741702046844,95.64282021573972,95.64282021573972,0.0,382.9313499889447,0.0,382.93134998894465,0.0
2023-02-09 10:00:00+00:00,475.6036913060703,143.58288508833232,143.58288508833232,0.0,332.020806217738,0.0,332.02080621773797,0.0
2023-02-09 11:00:00+00:00,430.36327484658966,173.64909661431344,173.64909661431344,0.0,256.71417823227625,0.0,256.71417823227625,0.0
2023-02-09 12:00:00+00:00,459.2816813642576,182.7472582605056,182.7472582605056,0.0,276.53442310375203,0.0,276.53442310375203,0.0
2023-02-09 13:00:00+00:00,465.9615722183921,170.0464541064008,170.0464541064008,0.0,295.9151181119913,0.0,295.9151181119913,0.0
2023-02-09 14:00:00+00:00,460.17427193869656,136.72324405602578,136.72324405602578,0.0,323.4510278826708,0.0,323.4510278826708,0.0
2023-02-09 15:00:00+00:00,433.7592112097432,86.35112912849135,86.35112912849135,0.0,347.4080820812519,0.0,347.4080820812519,0.0
2023-02-09 16:00:00+00:00,432.34706956917006,27.992511365299265,27.992511365299265,0.0,404.3545582038708,0.0,404.3545582038708,0.0
2023-02-09 17:00:00+00:00,412.625308645992,0.0,0.0,0.0,412.625308645992,0.0,412.625308645992,0.0
2023-02-09 18:00:00+00:00,209.64240779822373,0.0,0.0,0.0,209.64240779822373,0.0,209.64240779822373,0.0
2023-02-09 19:00:00+00:00,183.1943596683116,0.0,0.0,0.0,183.1943596683116,0.0,183.1943596683116,0.0
2023-02-09 20:00:00+00:00,204.68293952127465,0.0,0.0,0.0,204.68293952127465,0.0,204.68293952127465,0.0
2023-02-09 21:00:00+00:00,164.2425986330346,0.0,0.0,0.0,164.2425986330346,0.0,164.2425986330346,0.0
2023-02-09 22:00:00+00:00,193.12881154109976,0.0,0.0,0.0,193.12881154109976,0.0,193.12881154109976,0.0
2023-02-09 23:00:00+00:00,202.93841139876605,0.0,0.0,0.0,202.93841139876605,0.0,202.93841139876605,0.0
2023-02-10 00:00:00+00:00,77.36592644910604,0.0,0.0,0.0,77.36592644910604,0.0,77.36592644910604,0.0
2023-02-10 01:00:00+00:00,87.34919464738384,0.0,0.0,0.0,87.34919464738384,0.0,87.34919464738384,0.0
2023-02-10 02:00:00+00:00,110.42148964086432,0.0,0.0,0.0,110.42148964086432,0.0,110.42148964086432,0.0
2023-02-10 03:00:00+00:00,93.35610770955056,0.0,0.0,0.0,93.35610770955056,0.0,93.35610770955056,0.0
2023-02-10 04:00:00+00:00,103.87586721328914,0.0,0.0,0.0,103.87586721328914,0.0,103.87586721328914,0.0
2023-02-10 05:00:00+00:00,130.26712927369448,0.0,0.0,0.0,130.26712927369448,0.0,130.26712927369448,0.0
2023-02-10 06:00:00+00:00,262.6209312162182,0.0,0.0,0.0,262.6209312162182,0.0,262.6209312162182,0.0
2023-02-10 07:00:00+00:00,254.2142903607712,0.2195210753989662,0.2195210753989662,0.0,253.99476928537223,0.0,253.99476928537223,0.0
2023-02-10 08:00:00+00:00,470.45538755280336,38.82637463185955,38.82637463185955,0.0,431.6290129209438,0.0,431.6290129209438,0.0
2023-02-10 09:00:00+00:00,434.6077122994541,97.38198893443462,97.38198893443462,0.0,337.22572336501946,0.0,337.22572336501946,0.0
2023-02-10 10:00:00+00:00,470.4554506970997,145.42567349714577,145.42567349714577,0.0,325.029777199954,0.0,325.02977719995397,0.0
2023-02-10 11:00:00+00:00,413.6880612986008,175.5456482877256,175.5456482877256,0.0,238.1424130108752,0.0,238.1424130108752,0.0
2023-02-10 12:00:00+00:00,487.4644195965853,184.6648289588233,184.6648289588233,0.0,302.799590637762,0.0,302.799590637762,0.0
2023-02-10 13:00:00+00:00,449.5564950741342,171.95416692471218,171.95416692471218,0.0,277.602328149422,0.0,277.602328149422,0.0
2023-02-10 14:00:00+00:00,457.7267466452633,138.58573451688915,138.58573451688915,0.0,319.14101212837414,0.0,319.14101212837414,0.0
2023-02-10 15:00:00+00:00,443.5975034901844,88.10764487810926,88.10764487810926,0.0,355.4898586120752,0.0,355.4898586120752,0.0
2023-02-10 16:00:00+00:00,478.0656970669901,29.39473360715838,29.39473360715838,0.0,448.6709634598317,0.0,448.6709634598317,0.0
2023-02-10 17:00:00+00:00,427.6645215248208,0.0,0.0,0.0,427.6645215248208,0.0,427.6645215248208,0.0
2023-02-10 18:00:00+00:00,220.3167529797356,0.0,0.0,0.0,220.3167529797356,0.0,220.3167529797356,0.0
2023-02-10 19:00:00+00:00,200.8995031894904,0.0,0.0,0.0,200.8995031894904,0.0,200.8995031894904,0.0
2023-02-10 20:00:00+00:00,148.2070586344657,0.0,0.0,0.0,148.2070586344657,0.0,148.2070586344657,0.0
2023-02-10 21:00:00+00:00,181.77654424070928,0.0,0.0,0.0,181.77654424070928,0.0,181.77654424070928,0.0
2023-02-10 22:00:00+00:00,144.11604560939992,0.0,0.0,0.0,144.11604560939992,0.0,144.11604560939992,0.0
2023-02-10 23:00:00+00:00,213.4355170061569,0.0,0.0,0.0,213.4355170061569,0.0,213.4355170061569,0.0
2023-02-11 00:00:00+00:00,75.20553380559326,0.0,0.0,0.0,75.20553380559326,0.0,75.20553380559326,0.0
2023-02-11 01:00:00+00:00,56.79050692995081,0.0,0.0,0.0,56.79050692995081,0.0,56.79050692995081,0.0
2023-02-11 02:00:00+00:00,109.76681028579816,0.0,0.0,0.0,109.76681028579816,0.0,109.76681028579816,0.0
2023-02-11 03:00:00+00:00,36.788772978121706,0.0,0.0,0.0,36.788772978121706,0.0,36.788772978121706,0.0
2023-02-11 04:00:00+00:00,82.03796352030548,0.0,0.0,0.0,82.03796352030548,0.0,82.03796352030548,0.0
2023-02-11 05:00:00+00:00,88.12364239010542,0.0,0.0,0.0,88.12364239010542,0.0,88.12364239010542,0.0
2023-02-11 06:00:00+00:00,138.43524348262684,0.0,0.0,0.0,138.43524348262684,0.0,138.43524348262684,0.0
2023-02-11 07:00:00+00:00,155.43592452936153,0.3325113512667477,0.3325113512667477,0.0,155.10341317809477,0.0,155.10341317809477,0.0
2023-02-11 08:00:00+00:00,277.63890038550903,40.32844991736325,40.32844991736325,0.0,237.31045046814577,0.0,237.31045046814577,0.0
2023-02-11 09:00:00+00:00,272.5673720220004,99.15391983205204,99.15391983205204,0.0,173.41345218994837,0.0,173.41345218994837,0.0
2023-02-11 10:00:00+00:00,310.6900846209096,147.29633887466022,147.29633887466022,0.0,163.39374574624938,0.0,163.39374574624938,0.0
2023-02-11 11:00:00+00:00,261.3281853017385,177.4651037007684,177.4651037007684,0.0,83.86308160097008,0.0,83.86308160097008,0.0
2023-02-11 12:00:00+00:00,239.3009259900224,186.60047403396868,186.60047403396868,0.0,52.70045195605368,0.0,52.70045195605371,0.0
2023-02-11 13:00:00+00:00,274.6916120808449,173.875676714232,173.875676714232,0.0,100.8159353666129,0.0,100.8159353666129,0.0
2023-02-11 14:00:00+00:00,293.63643257635147,140.4587852771708,140.4587852771708,0.0,153.17764729918068,0.0,153.17764729918068,0.0
2023-02-11 15:00:00+00:00,258.4422792579736,89.87371479355218,89.87371479355218,0.0,168.56856446442143,0.0,168.56856446442143,0.0
2023-02-11 16:00:00+00:00,288.040819589436,30.81711622872453,30.81711622872453,0.0,257.2237033607115,0.0,257.2237033607115,0.0
2023-02-11 17:00:00+00:00,300.2972190749095,0.0,0.0,0.0,300.2972190749095,0.0,300.2972190749095,0.0
2023-02-11 18:00:00+00:00,103.60104134569686,0.0,0.0,0.0,103.60104134569686,0.0,103.60104134569686,0.0
2023-02-11 19:00:00+00:00,63.04880356335934,0.0,0.0,0.0,63.04880356335934,0.0,63.04880356335934,0.0
2023-02-11 20:00:00+00:00,139.1981568957606,0.0,0.0,0.0,139.1981568957606,0.0,139.1981568957606,0.0
2023-02-11 21:00:00+00:00,115.69652555565172,0.0,0.0,0.0,115.69652555565172,0.0,115.69652555565172,0.0
2023-02-11 22:00:00+00:00,155.00901752721592,0.0,0.0,0.0,155.00901752721592,0.0,155.00901752721592,0.0
2023-02-11 23:00:00+00:00,140.5783300192454,0.0,0.0,0.0,140.5783300192454,0.0,140.5783300192454,0.0
2023-02-12 00:00:00+00:00,72.52629976453197,0.0,0.0,0.0,72.52629976453197,0.0,72.52629976453197,0.0
2023-02-12 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-12 02:00:00+00:00,21.773071157703843,0.0,0.0,0.0,21.773071157703843,0.0,21.773071157703843,0.0
2023-02-12 03:00:00+00:00,87.15008133585363,0.0,0.0,0.0,87.15008133585363,0.0,87.15008133585363,0.0
2023-02-12 04:00:00+00:00,40.46719284827067,0.0,0.0,0.0,40.46719284827067,0.0,40.46719284827067,0.0
2023-02-12 05:00:00+00:00,43.28132155484784,0.0,0.0,0.0,43.28132155484784,0.0,43.28132155484784,0.0
2023-02-12 06:00:00+00:00,129.67356936261857,0.0,0.0,0.0,129.67356936261857,0.0,129.67356936261857,0.0
2023-02-12 07:00:00+00:00,140.8186288058759,0.4830815716136743,0.4830815716136743,0.0,140.33554723426224,0.0,140.33554723426224,0.0
2023-02-12 08:00:00+00:00,292.4279661462625,41.86998006365086,41.86998006365086,0.0,250.55798608261165,0.0,250.55798608261165,0.0
2023-02-12 09:00:00+00:00,265.2846857105658,100.95755451943889,100.95755451943889,0.0,164.3271311911269,0.0,164.3271311911269,0.0
2023-02-12 10:00:00+00:00,240.1464845622676,149.193709846165,149.193709846165,0.0,90.9527747161026,0.0,90.9527747161026,0.0
2023-02-12 11:00:00+00:00,270.2051720761625,179.40626507341938,179.40626507341938,0.0,90.79890700274314,0.0,90.79890700274314,0.0
2023-02-12 12:00:00+00:00,248.30525110118367,188.55302525431927,188.55302525431927,0.0,59.752225846864405,0.0,59.752225846864405,0.0
2023-02-12 13:00:00+00:00,276.32068777364265,175.8098889012183,175.8098889012183,0.0,100.51079887242436,0.0,100.51079887242435,0.0
2023-02-12 14:00:00+00:00,292.3523966697661,142.34140919764727,142.34140919764727,0.0,150.01098747211884,0.0,150.01098747211884,0.0
2023-02-12 15:00:00+00:00,242.5472480107828,91.64845590604236,91.64845590604236,0.0,150.89879210474044,0.0,150.89879210474044,0.0
2023-02-12 16:00:00+00:00,291.86256643374446,32.258395188205114,32.258395188205114,0.0,259.60417124553936,0.0,259.60417124553936,0.0
2023-02-12 17:00:00+00:00,281.6709129064343,0.0029532299810014,0.0029532299810014,0.0,281.6679596764533,0.0,281.6679596764533,0.0
2023-02-12 18:00:00+00:00,93.31051436287385,0.0,0.0,0.0,93.31051436287385,0.0,93.31051436287385,0.0
2023-02-12 19:00:00+00:00,109.70202595348952,0.0,0.0,0.0,109.70202595348952,0.0,109.70202595348952,0.0
2023-02-12 20:00:00+00:00,146.17194039207894,0.0,0.0,0.0,146.17194039207894,0.0,146.17194039207894,0.0
2023-02-12 21:00:00+00:00,110.92007340313098,0.0,0.0,0.0,110.92007340313098,0.0,110.92007340313098,0.0
2023-02-12 22:00:00+00:00,106.3977863365652,0.0,0.0,0.0,106.3977863365652,0.0,106.3977863365652,0.0
2023-02-12 23:00:00+00:00,157.86749427057688,0.0,0.0,0.0,157.86749427057688,0.0,157.86749427057688,0.0
2023-02-13 00:00:00+00:00,117.70395107402808,0.0,0.0,0.0,117.70395107402808,0.0,117.70395107402808,0.0
2023-02-13 01:00:00+00:00,131.38841827701347,0.0,0.0,0.0,131.38841827701347,0.0,131.38841827701347,0.0
2023-02-13 02:00:00+00:00,103.77036710627922,0.0,0.0,0.0,103.77036710627922,0.0,103.77036710627922,0.0
2023-02-13 03:00:00+00:00,83.85600360574625,0.0,0.0,0.0,83.85600360574625,0.0,83.85600360574625,0.0
2023-02-13 04:00:00+00:00,65.87157918274289,0.0,0.0,0.0,65.87157918274289,0.0,65.87157918274289,0.0
2023-02-13 05:00:00+00:00,39.47231949897308,0.0,0.0,0.0,39.47231949897308,0.0,39.47231949897308,0.0
2023-02-13 06:00:00+00:00,229.09509355312363,0.0,0.0,0.0,229.09509355312363,0.0,229.09509355312363,0.0
2023-02-13 07:00:00+00:00,206.8127553878246,0.6777850978404865,0.6777850978404865,0.0,206.13497028998407,0.0,206.13497028998412,0.0
2023-02-13 08:00:00+00:00,455.9830155993863,43.45014483989179,43.45014483989179,0.0,412.5328707594945,0.0,412.53287075949453,0.0
2023-02-13 09:00:00+00:00,438.280097561317,102.79181199089436,102.79181199089436,0.0,335.48828557042265,0.0,335.48828557042265,0.0
2023-02-13 10:00:00+00:00,487.5251380907495,151.11659923082638,151.11659923082638,0.0,336.4085388599232,0.0,336.40853885992317,0.0
2023-02-13 11:00:00+00:00,478.34604899655545,181.36792167965928,181.36792167965928,0.0,296.9781273168962,0.0,296.9781273168962,0.0
2023-02-13 12:00:00+00:00,453.02301323948654,190.5213029998944,190.5213029998944,0.0,262.50171023959217,0.0,262.50171023959217,0.0
2023-02-13 13:00:00+00:00,460.28256767286206,177.75569814098162,177.75569814098162,0.0,282.52686953188044,0.0,282.52686953188044,0.0
2023-02-13 14:00:00+00:00,452.9984484726596,144.23260799181142,144.23260799181142,0.0,308.76584048084817,0.0,308.76584048084817,0.0
2023-02-13 15:00:00+00:00,439.1242719490618,93.43097336640336,93.43097336640336,0.0,345.69329858265843,0.0,345.69329858265843,0.0
2023-02-13 16:00:00+00:00,416.49169462313534,33.71731630019626,33.71731630019626,0.0,382.7743783229391,0.0,382.77437832293907,0.0
2023-02-13 17:00:00+00:00,437.4939978007117,0.0165191628390381,0.0165191628390381,0.0,437.4774786378727,0.0,437.4774786378727,0.0
2023-02-13 18:00:00+00:00,200.47337498835813,0.0,0.0,0.0,200.47337498835813,0.0,200.47337498835813,0.0
2023-02-13 19:00:00+00:00,139.11371198919466,0.0,0.0,0.0,139.11371198919466,0.0,139.11371198919466,0.0
2023-02-13 20:00:00+00:00,212.0856255746984,0.0,0.0,0.0,212.0856255746984,0.0,212.0856255746984,0.0
2023-02-13 21:00:00+00:00,157.88731603726777,0.0,0.0,0.0,157.88731603726777,0.0,157.88731603726777,0.0
2023-02-13 22:00:00+00:00,209.05922370360207,0.0,0.0,0.0,209.05922370360207,0.0,209.05922370360207,0.0
2023-02-13 23:00:00+00:00,213.8961781804438,0.0,0.0,0.0,213.8961781804438,0.0,213.8961781804438,0.0
2023-02-14 00:00:00+00:00,101.06033768650596,0.0,0.0,0.0,101.06033768650596,0.0,101.06033768650596,0.0
2023-02-14 01:00:00+00:00,85.24662078410434,0.0,0.0,0.0,85.24662078410434,0.0,85.24662078410434,0.0
2023-02-14 02:00:00+00:00,133.3168906885318,0.0,0.0,0.0,133.3168906885318,0.0,133.3168906885318,0.0
2023-02-14 03:00:00+00:00,104.38205492909792,0.0,0.0,0.0,104.38205492909792,0.0,104.38205492909792,0.0
2023-02-14 04:00:00+00:00,128.86087175240763,0.0,0.0,0.0,128.86087175240763,0.0,128.86087175240763,0.0
2023-02-14 05:00:00+00:00,103.4180626878172,0.0,0.0,0.0,103.4180626878172,0.0,103.4180626878172,0.0
2023-02-14 06:00:00+00:00,283.9881822695472,0.0,0.0,0.0,283.9881822695472,0.0,283.9881822695472,0.0
2023-02-14 07:00:00+00:00,232.77352871317984,0.9229125544908288,0.9229125544908288,0.0,231.850616158689,0.0,231.850616158689,0.0
2023-02-14 08:00:00+00:00,410.6845626728095,45.06807147129209,45.06807147129209,0.0,365.61649120151736,0.0,365.61649120151736,0.0
2023-02-14 09:00:00+00:00,451.0436319354736,104.65558850497888,104.65558850497888,0.0,346.38804343049475,0.0,346.38804343049475,0.0
2023-02-14 10:00:00+00:00,454.0299285825057,153.06380261502866,153.06380261502866,0.0,300.96612596747707,0.0,300.96612596747707,0.0
2023-02-14 11:00:00+00:00,482.4099194920124,183.348847066252,183.348847066252,0.0,299.0610724257604,0.0,299.0610724257604,0.0
2023-02-14 12:00:00+00:00,478.1182626229932,192.50411204895929,192.50411204895929,0.0,285.61415057403394,0.0,285.61415057403394,0.0
2023-02-14 13:00:00+00:00,458.5557233862023,179.71198273662284,179.71198273662284,0.0,278.84374064957944,0.0,278.84374064957944,0.0
2023-02-14 14:00:00+00:00,446.5139101265332,146.13136552130442,146.13136552130442,0.0,300.3825446052288,0.0,300.38254460522876,0.0
2023-02-14 15:00:00+00:00,461.6324383760252,95.22035306261677,95.22035306261677,0.0,366.41208531340845,0.0,366.41208531340845,0.0
2023-02-14 16:00:00+00:00,502.2814812742946,35.19262811849117,35.19262811849117,0.0,467.08885315580346,0.0,467.08885315580346,0.0
2023-02-14 17:00:00+00:00,461.171292924714,0.0407673100976049,0.0407673100976049,0.0,461.1305256146164,0.0,461.13052561461643,0.0
2023-02-14 18:00:00+00:00,148.8383309144963,0.0,0.0,0.0,148.8383309144963,0.0,148.8383309144963,0.0
2023-02-14 19:00:00+00:00,180.69812803489387,0.0,0.0,0.0,180.69812803489387,0.0,180.69812803489387,0.0
